web_scraper_order,web_scraper_start_url,image,location,price,name
"1765120257-54","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1389654_uploaded_image1_1577304861.89.png","Dakar, Sénégal","Prix sur demande","Perruches"
"1765120257-55","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1376905_uploaded_image1_1577034747.91.png","Mermoz-Sacré-Cœur, Dakar, Sénégal","12 000CFA","Cailles"
"1765120257-56","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1322739_uploaded_image1_1576006817.07.png","Fass, Dakar, Sénégal","Prix sur demande","Oies"
"1765120257-57","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1311792_uploaded_image1_1575817543.97.png","Fass, Dakar, Sénégal","60 000CFA","Oies"
"1765120257-58","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1310387_uploaded_image1_1575790267.47.png","Parcelle Assainies, Dakar, Sénégal","Prix sur demande","Paon bleu"
"1765120257-59","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1198114_uploaded_image1_1573729988.56.png","Sénégal","350 000CFA","Bœufs"
"1765120257-60","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1129419_uploaded_image1_1572391697.86.png","Dakar, Sénégal","Prix sur demande","Boeuf"
"1765120257-61","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_1011139_uploaded_image1_1569950027.26.png","Sénégal","Prix sur demande","Mouton ladoum pure sang"
"1765120257-62","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_990474_uploaded_image1_1569491306.15.png","Thies, Sénégal","50 000CFA","Oies  bourbonaises"
"1765120257-63","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_931708_uploaded_image1_1568194736.45.png","Grand Yoff, Dakar, Sénégal","1 000CFA","Caille"
"1765120257-64","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_929881_uploaded_image1_1568141260.81.png","Sénégal","200 000CFA","Verrat de race Large white"
"1765120257-65","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_917895_uploaded_image1_1567801722.96.png","Saint Louis, Sénégal","200 000CFA","Chèvre Balami"
"1765120257-66","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_885779_uploaded_image2_1566997623.56.png","Guediawaye, Dakar, Sénégal","400 000CFA","Bœuf"
"1765120257-67","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_863425_uploaded_image1_1566425287.55.png","Sénégal","35 000CFA","Poisson d'aquarium"
"1765120257-68","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_845280_uploaded_image1_1565952077.54.png","Sénégal","Prix sur demande","Perruches"
"1765120257-69","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_827220_uploaded_image1_1565349629.12.png","Dakar-Plateau, Dakar, Sénégal","50 000CFA","Carpe Koï Japonaise ( Aquarium)"
"1765120257-70","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://images.coinafrique.com/thumb_751123_uploaded_image1_1563297186.25.png","Point E, Dakar, Sénégal","Prix sur demande","Perruches"
"1765120262-71","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3369362_uploaded_image1_1633438173.jpg","Dakar, Sénégal","20 000CFA","Couple hermine"
